Австралия,1100968
Американское Самоа,23424746
Архипелаг Чатем,56000797
Атолл Джонстон,28289407
Атолл Пальмира,23424878
Бугенвиль,2346587
Вануату,23424907
Гуам,23424832
Кирибати,12494997
Маршаловы острова,23424932
Микронезия,23424815
Науру,23424912
Ниуэ (Савидж),23424904
Новая Зеландия,2351310
Новая Каледония,1049640
Остров Бейкер,23424818
Остров Джарвис,23424799
Остров Норфолк,1049697
Остров Рождества,23424869
Остров Хауленд,23424842
Острова Ашмор и Картье,23424749
Острова Гилберта,12495062
Острова Кораллового моря,23424790
Острова Кука,23424795
Острова Феникс,12495062
Палау,23424927
Папуа-Новая Гвинея,1062005
Риф Кингмен,23424866
Ротума,20069921
Самоа,23424992
Северные Марианские острова,23424788
Соломоновы острова,1020496
Токелау,23424963
Тонга,23424964
Тувалу,23424964
Уоллис и Футуна,23424989
Фиджи,1064103
Французская Полинезия,23424817
