Азербайджан,1951874
Афганистан,1922738
Бангладеш,1915035
Бахрейн,1967057
Бруней-Даруссалам,1020725
Бутан,1887896
Восточный Тимор,1047376
Вьетнам,91888417
Грузия,1965878
Индия,2295019
Индонезия,1047378
Иордания,1968902
Ирак,1979455
Иран,2251945
Йемен,1958237
Казахстан,2264962
Камбоджа,1020985
Катар,1940517
Кыргызстан,1969888
Кувейт,1940631
Лаос,1140612
Ливан,1960307
Малайзия,1154781
Мальдивы,23424899
Монголия,2266535
Мьянма,1017797
Непал,2269179
ОАЭ,1940330
Оман,2268284
Пакистан,2211027
Саудовская Аравия,1939753
Сингапур,1062617
Сирия,1947122
Таджикистан,2213336
Таиланд,1225448
Туркменистан,1935520
Турция,2343732
Узбекистан,2272113
Филиппины,1199477
Шри-Ланка,2189783
Япония,1118370
Армения,2214662
Израиль,1968222
Кипр,841546
Китай (КНР),2151330
Северная Корея (КНДР),1079132
Южная Корея (Республика Корея),1132599
Тайвань,23424971
Амирантские острова,12466344
Коморы,1306106
Майотта,23424886
Остров Коэтиви,12466285
Остров Платт,12466344
Острова Агалега,2346237
Острова Альдабра,56557153
Острова Альфонс,23424941
Острова Фаркуар,23424941
Палау,23424927
Кокосовые Острова,1062839
Остров Рождества,23424869
Британская территория в Индийском океане,23424849
Сейшельские острова,23424941
Гонконг (Сянган),2165352
Макао (Аомынь),1887901
Гуам,23424832
Северные Марианские острова,23424788
Россия,2122265
