Австралия,1100968
Австрия,551801
Азербайджан,1951874
Азорские острова,2346587
Аландские острова,12577865
Албания,472135
Алжир,1253079
Американские Виргинские острова,23424985
Американское Самоа,23424746
Амирантские острова,12466344
Ангилья,23424751
Ангола,1261906
Андорра,20070553
Антигуа и Барбуда,23424737
Аргентина,468739
Армения,2214662
Аруба,23424736
Каргадос-Карахос,23424894
Архипелаг Лас-Авес,12505870
Архипелаг Лос-Рокес,12505770
Архипелаг Лос-Тестигос,468486
Архипелаг Лос-Фрайлес,468486
Архипелаг Чатем,56000797
Атолл Джонстон,28289407
Атолл Мидуэй,23424895
Атолл Пальмира,23424878
Атолл Уэйк,23424991
Афганистан,1922738
Багамские острова,23424758
Бангладеш,1915035
Барбадос,23424754
Бахрейн,1967057
Беларусь,834463
Белиз,23424760
Бельгия,968019
Бенин,1268465
Бермудские острова,23424756
Болгария,839722
Боливия,346057
"Бонэйр, Синт-Эстатиус и Саба",12484681
Босния и Герцеговина,943828
Ботсвана,1265547
Бразилия,455819
Британская территория в Индийском океане,23424849
Британские Виргинские острова,23424983
Бруней-Даруссалам,1020725
Бугенвиль,2346587
Буркина-Фасо,1461080
Бурунди,1269399
Бутан,1887896
Вануату,23424907
Ватикан,23424986
Великобритания,44418
Венгрия,804365
Венесуэла,395269
Восточный Тимор,1047376
Вьетнам,91888417
Габон,1324195
Гавайи,2347570
Гаити,96110
Гайана,376765
Гамбия,23424821
Гана,1330595
Гваделупа,23424831
Гватемала,83123
Гвинея,23424835
Гвинея-Бисау,1559861
Германия,638242
Гибралтар,472800
Гондурас,107681
Гонконг (Сянган),2165352
Гренада,23424826
Гренландия,472856
Греция,946738
Грузия,1965878
Гуам,23424832
Дания,554890
Джибути,23424797
Доминика,23424798
Доминиканская Республика,76456
Египет,1521894
Замбия,23425003
Зимбабве,1467052
Израиль,1968222
Индия,2295019
Индонезия,1047378
Иордания,1968902
Ирак,1979455
Иран,2251945
Ирландия,560743
Исла-де-Паскуа,28358162
Исландия,980389
Испания,766273
Италия,721943
Йемен,1958237
Кабо-Верде,23424794
Казахстан,2264962
Каймановы острова,23424783
Камбоджа,1020985
Камерун,1305860
Канада,29375164
Канарские острова,764814
Карриаку и Пти-Мартиника,12484088
Катар,1940517
Кения,1528488
Кирибати,12494997
Китай (КНР),2151330
Клиппертон,23424850
Кокосовые Острова,1062839
Колумбия,368148
Коморы,1306106
Конго,1279685
Конго (Дем. Република),1290062
Коста-Рика,59426
Кот-д'Ивуар,1347063
Куба,63817
Кувейт,1940631
Кыргызстан,1969888
Кюрасао,56558057
Лаос,1140612
Латвия,854823
Лесото,1352389
Либерия,1344455
Ливан,1960307
Ливия,1353281
Литва,479616
Лихтенштейн,856440
Люксембург,979721
Маврикий,23424894
Мавритания,1504735
Мадагаскар,23424883
Мадейра,2346570
Майотта,23424886
Макао (Аомынь),1887901
Македония,482940
Малави,1367476
Малайзия,1154781
Мали,1369729
Мальдивская Республика,23424899
Мальта,483559
Марокко,1539359
Мартиника,23424884
Маршаловы острова,23424932
Мексика,116545
Мелилья,767022
Микронезия,23424815
Мозамбик,1550363
Молдова,480793
Монако,24549798
Монголия,2266535
Монтсеррат,23424888
Мьянма,1017797
Намибия,23424987
Науру,23424912
Непал,2269179
Нигер,1505949
Нигерия,23424908
Нидерланды,727232
