Австрия,551801
Албания,472135
Андорра,20070553
Беларусь,834463
Бельгия,968019
Болгария,839722
Босния и Герцеговина,943828
Великобритания,44418
Венгрия,804365
Германия,638242
Греция,946738
Дания,554890
Ирландия,560743
Исландия,980389
Испания,766273
Италия,721943
Латвия,854823
Литва,479616
Лихтенштейн,856440
Люксембург,979721
Македония,482940
Мальта,483559
Молдова,480793
Монако,24549798
Нидерланды,727232
Норвегия,862592
Польша,523920
Португалия,742676
Россия,2122265
Румыния,868274
Сан-Марино,532373
Сербия,532697
Словакия,818717
Словения,530634
Украина,924938
Финляндия,565346
Франция,615702
Хорватия,851128
Черногория,536010
Чехия,796597
Швейцария,781788
Швеция,906057
Эстония,845743
Ватикан,23424986
Шпицберген,
Остров Гернси,23424827
Остров Джерси,24549617
Остров Мэн,23424847
Остров Альборан,767022
Аландские острова,12577865
Гибралтар,472800
Мелилья,767022
Остров Перехиль,757400
Остров Ян-Майен,23424859
Острова Алусемас,1531158
Острова Чафаринас,12478622
Пеньон-де-Велес-де-ла-Гомера,1542248
Сеута,757400
Фарерские острова,23424816
