Азорские острова,2346587
Американские Виргинские острова,23424985
Ангилья,23424751
Антигуа и Барбуда,23424737
Аруба,23424736
Архипелаг Лас-Авес,12505870
Архипелаг Лос-Рокес,12505770
Архипелаг Лос-Тестигос,468486
Архипелаг Лос-Фрайлес,468486
Атолл Джонстон,28289407
Багамские острова,23424758
Барбадос,23424754
Белиз,23424760
Бермудские острова,23424756
"Бонэйр, Синт-Эстатиус и Саба",12484681
Британские Виргинские острова,23424983
Гавайи,2347570
Гаити,96110
Гваделупа,23424831
Гватемала,83123
Гондурас,107681
Гренада,23424826
Гренландия,472856
Доминика,23424798
Доминиканская Республика,76456
Ямайка,109251
Кабо-Верде,23424794
Каймановы острова,23424783
Канада,29375164
Канарские острова,764814
Карриаку и Пти-Мартиника,12484088
Клиппертон,23424850
Коста-Рика,59426
Куба,63817
Кюрасао,56558057
Мадейра,2346570
Мартиника,23424884
Мексика,116545
Монтсеррат,23424888
Никарагуа,153523
Остров Авес,23424831
Остров Ла-Бланкилья,12505712
Остров Ла-Тортуга,12505774
Остров Навасса,23424767
Остров Орчила,12505766
Остров Патос,12505808
Остров Хауленд,23424842
Остров Ян-Майен,23424859
Панама,159386
Пуэрто-Рико,161685
Риф Кингмен,23424866
Сальвадор,79825
Сан-Андрес и Провиденсия,365117
Сен-Бартелеми,56042304
Сен-Мартен,56042305
Сен-Пьер и Микелон,23424939
Сент-Винсент и Гренадины,23424981
Сент-Китс и Невис,12485265
Сент-Люсия,23424951
Синт-Мартен,151970
США,2514815
Теркс и Кайкос,23424962
Тринидад и Тобаго,23424958
Фарерские острова,23424816
