Аргентина,468739
Аруба,23424736
Архипелаг Лас-Авес,12505870
Архипелаг Лос-Рокес,12505770
Архипелаг Лос-Тестигос,468486
Архипелаг Лос-Фрайлес,468486
Барбадос,23424754
Боливия,346057
"Бонэйр, Синт-Эстатиус и Саба",12484681
Бразилия,455819
Венесуэла,395269
Гайана,376765
Гренада,23424826
Исла-де-Паскуа,28358162
Карриаку и Пти-Мартиника,12484088
Колумбия,368148
Кюрасао,56558057
Остров Буве,28289410
Остров Ла-Бланкилья,12505712
Остров Ла-Тортуга,12505774
Остров Орчила,12505766
Остров Патос,12505808
Острова Питкэрн,23424918
"Острова Святой Елены, Вознесения и Тристан-да-Кунья",23424944
Парагвай,379176
Перу,23424919
Сан-Андрес и Провиденсия,365117
Сент-Винсент и Гренадины,23424981
Сент-Люсия,23424951
Суринам,377227
Тринидад и Тобаго,23424958
Уругвай,468052
Фолклендские острова,23424814
Французская Гвиана,379832
Чили,349859
Эквадор,375732
Южная Георгия и Южные Сандвичевы острова,23424955
